Column1,State/UT,Parliamentary Constituency,Party Name,Winning Candidate,Total Votes,Margin
254,Maharathra,Kalyan(24),Shiv Sena - SHS,DR SHRIKANT EKNATH SHINDE,589636,209144
255,Maharathra,Kolhapur(47),Indian National Congress (INC),CHHATRAPATI SHAHU SHAHAJI,754522,154964
256,Maharathra,Latur (41),Indian National Congress (INC),DR. KALGE SHIVAJI BANDAPPA,609021,61881
257,Maharathra,Madha(43),Nationalist Congress Party – Sharadchandra Pawar - NCPSP,MOHITE-PATIL DHAIRYASHEEL RAJSINH,622213,120837
258,Maharathra,Maval(33),Shiv Sena - SHS,SHRIRANG APPA CHANDU BARNE,692832,96615
259,Maharathra,Mumbai North Central(29),Indian National Congress (INC),GAIKWAD VARSHA EKNATH,445545,16514
260,Maharathra,Mumbai North East(28),Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,SANJAY DINA PATIL,450937,29861
261,Maharathra,Mumbai North West(27),Shiv Sena - SHS,RAVINDRA DATTARAM WAIKAR,452644,48
262,Maharathra,Mumbai North(26),Bharatiya Janata Party(BJP),PIYUSH GOYAL,680146,357608
263,Maharathra,Mumbai South Central(30),Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,ANIL YESHWANT DESAI,395138,53384
264,Maharathra,Mumbai South(31),Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,ARVIND GANPAT SAWANT,395655,52673
265,Maharathra,Nagpur(10),Bharatiya Janata Party(BJP),NITIN JAIRAM GADKARI,655027,137603
266,Maharathra,Nanded(16),Indian National Congress (INC),CHAVAN VASANTRAO BALWANTRAO,528894,59442
267,Maharathra,Nandurbar(1),Indian National Congress (INC),ADV GOWAAL KAGADA PADAVI,745998,159120
268,Maharathra,Nashik(21),Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,RAJABHAU (PARAG) PRAKASH WAJE,616729,162001
269,Maharathra,Osmanabad(40),Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,748752,329846
270,Maharathra,Palghar(22),Bharatiya Janata Party(BJP),DR. HEMANT VISHNU SAVARA,601244,183306
271,Maharathra,Parbhani(17),Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,JADHAV SANJAY ( BANDU ) HARIBHAU,601343,134061
272,Maharathra,Pune(34),Bharatiya Janata Party(BJP),MURLIDHAR MOHOL,584728,123038
273,Maharathra,Raigad(32),Nationalist Congress Party - NCP,TATKARE SUNIL DATTATREY,508352,82784
274,Maharathra,Ramtek (9),Indian National Congress (INC),Shyamkumar (Babalu) Daulat Barve,613025,76768
275,Maharathra,Ratnagiri- Sindhudurg(46),Bharatiya Janata Party(BJP),NARAYAN TATU RANE,448514,47858
276,Maharathra,Raver(4),Bharatiya Janata Party(BJP),KHADSE RAKSHA NIKHIL,630879,272183
277,Maharathra,Sangli(44),Independent - IND,VISHAL (DADA) PRAKASHBAPU PATIL,571666,100053
278,Maharathra,Satara(45),Bharatiya Janata Party(BJP),SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,571134,32771
279,Maharathra,Shirdi (38),Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,BHAUSAHEB RAJARAM WAKCHAURE,476900,50529
280,Maharathra,Shirur(36),Nationalist Congress Party – Sharadchandra Pawar - NCPSP,DR. AMOL RAMSING KOLHE,698692,140951
281,Maharathra,Solapur(42),Indian National Congress (INC),PRANITI SUSHILKUMAR SHINDE,620225,74197
282,Maharathra,Thane(25),Shiv Sena - SHS,NARESH GANPAT MHASKE,734231,217011
283,Maharathra,Wardha(8),Nationalist Congress Party – Sharadchandra Pawar - NCPSP,AMAR SHARADRAO KALE,533106,81648
284,Maharathra,Yavatmal- Washim(14),Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,SANJAY UTTAMRAO DESHMUKH,594807,94473
285,Manipur,Inner Manipur(1),Indian National Congress (INC),ANGOMCHA BIMOL AKOIJAM,374017,109801
286,Manipur,Outer Manipur(2),Indian National Congress (INC),ALFRED KANNGAM S ARTHUR,384954,85418
287,Meghalaya,Shillong(1),Voice of the People Party - VOTPP,DR. RICKY ANDREW J. SYNGKON,571078,371910
288,Meghalaya,Tura(2),Indian National Congress (INC),SALENG A SANGMA,383919,155241
289,Mizoram,MIZORAM(1),Zoram People’s Movement - ZPM,RICHARD VANLALHMANGAIHA,208552,68288
290,Nagaland,Nagaland(1),Indian National Congress (INC),S SUPONGMEREN JAMIR,401951,50984
291,New Delhi,Chandni Chowk(1),Bharatiya Janata Party(BJP),PRAVEEN KHANDELWAL,516496,89325
292,New Delhi,East Delhi(3),Bharatiya Janata Party(BJP),HARSH MALHOTRA,664819,93663
293,New Delhi,New Delhi(4),Bharatiya Janata Party(BJP),BANSURI SWARAJ,453185,78370
294,New Delhi,North-East Delhi(2),Bharatiya Janata Party(BJP),MANOJ TIWARI,824451,138778
295,New Delhi,North-West Delhi(5),Bharatiya Janata Party(BJP),YOGENDER CHANDOLIYA,866483,290849
296,New Delhi,South Delhi(7),Bharatiya Janata Party(BJP),RAMVIR SINGH BIDHURI,692832,124333
297,New Delhi,West Delhi(6),Bharatiya Janata Party(BJP),KAMALJEET SEHRAWAT,842658,199013
298,Odisha,Aska(19),Bharatiya Janata Party(BJP),ANITA SUBHADARSHINI,494226,99974
299,Odisha,Balasore(6),Bharatiya Janata Party(BJP),PRATAP CHANDRA SARANGI,563865,147156
300,Odisha,Bargarh(1),Bharatiya Janata Party(BJP),PRADEEP PUROHIT,716359,251667
301,Odisha,Berhampur(20),Bharatiya Janata Party(BJP),DR. PRADEEP KUMAR PANIGRAHY,513102,165476
302,Odisha,Bhadrak(7),Bharatiya Janata Party(BJP),AVIMANYU SETHI,573319,91544
303,Odisha,Bhubaneswar(18),Bharatiya Janata Party(BJP),APARAJITA SARANGI,512519,35152
304,Odisha,Bolangir(10),Bharatiya Janata Party(BJP),SANGEETA KUMARI SINGH DEO,617744,132664
305,Odisha,Cuttack(14),Bharatiya Janata Party(BJP),BHARTRUHARI MAHTAB,531601,57077
306,Odisha,Dhenkanal(9),Bharatiya Janata Party(BJP),RUDRA NARAYAN PANY,598721,76567
307,Odisha,Jagatsinghpur(16),Bharatiya Janata Party(BJP),BIBHU PRASAD TARAI,589093,40696
308,Odisha,Jajpur(8),Bharatiya Janata Party(BJP),RABINDRA NARAYAN BEHERA,534239,1587
309,Odisha,Kalahandi(11),Bharatiya Janata Party(BJP),MALVIKA DEVI,544303,133813
310,Odisha,Kandhamal(13),Bharatiya Janata Party(BJP),SUKANTA KUMAR PANIGRAHI,416415,21371
311,Odisha,Kendrapara(15),Bharatiya Janata Party(BJP),BAIJAYANT PANDA,615705,66536
312,Odisha,Keonjhar(4),Bharatiya Janata Party(BJP),ANANTA NAYAK,573923,97042
313,Odisha,Koraput(21),Indian National Congress (INC),SAPTAGIRI SANKAR ULAKA,471393,147744
314,Odisha,Mayurbhanj(5),Bharatiya Janata Party(BJP),NABA CHARAN MAJHI,585971,219334
315,Odisha,Nabarangpur(12),Bharatiya Janata Party(BJP),BALABHADRA MAJHI,481396,87536
316,Odisha,Puri(17),Bharatiya Janata Party(BJP),SAMBIT PATRA,629330,104709
317,Odisha,Sambalpur(3),Bharatiya Janata Party(BJP),DHARMENDRA PRADHAN,592162,119836
318,Odisha,Sundargarh(2),Bharatiya Janata Party(BJP),JUAL ORAM,494282,138808
319,Pudducherry,PUDUCHERRY(1),Indian National Congress (INC),VE VAITHILINGAM,426005,136516
320,Punjab,Amritsar(2),Indian National Congress (INC),GURJEET SINGH AUJLA,255181,40301
321,Punjab,Anandpur Sahib(6),Aam Aadmi Party(AAP),MALVINDER SINGH KANG,313217,10846
322,Punjab,Bathinda(11),Shiromani Akali Dal - SAD,HARSIMRAT KAUR BADAL,376558,49656
323,Punjab,Faridkot(9),Independent - IND,SARABJEET SINGH KHALSA,298062,70053
324,Punjab,Fatehgarh Sahib(8),Indian National Congress (INC),AMAR SINGH,332591,34202
325,Punjab,Firozpur(10),Indian National Congress (INC),SHER SINGH GHUBAYA,266626,3242
326,Punjab,Gurdaspur(1),Indian National Congress (INC),SUKHJINDER SINGH RANDHAWA,364043,82861
327,Punjab,Hoshiarpur(5),Aam Aadmi Party(AAP),DR. RAJ KUMAR CHABBEWAL,303859,44111
328,Punjab,Jalandhar(4),Indian National Congress (INC),CHARANJIT SINGH CHANNI,390053,175993
329,Punjab,Khadoor Sahib(3),Independent - IND,AMRITPAL SINGH,404430,197120
330,Punjab,Ludhiana(7),Indian National Congress (INC),AMRINDER SINGH RAJA WARRING,322224,20942
331,Punjab,Patiala(13),Indian National Congress (INC),DR DHARAMVIRA GANDHI,305616,14831
332,Punjab,Sangrur(12),Aam Aadmi Party(AAP),GURMEET SINGH MEET HAYER,364085,172560
333,Rajasthan,AJMER (13),Bharatiya Janata Party(BJP),BHAGIRATH CHOUDHARY,747462,329991
334,Rajasthan,ALWAR(8),Bharatiya Janata Party(BJP),BHUPENDER YADAV,631992,48282
335,Rajasthan,BANSWARA (20),Bharat Adivasi Party - BHRTADVSIP,RAJ KUMAR ROAT,820831,247054
336,Rajasthan,BARMER(17),Indian National Congress (INC),UMMEDA RAM BENIWAL,704676,118176
337,Rajasthan,BHARATPUR (9),Indian National Congress (INC),SANJNA JATAV,579890,51983
338,Rajasthan,BHILWARA(23),Bharatiya Janata Party(BJP),DAMODAR AGARWAL,807640,354606
339,Rajasthan,BIKANER (2),Bharatiya Janata Party(BJP),ARJUN RAM MEGHWAL,566737,55711
340,Rajasthan,CHITTORGARH(21),Bharatiya Janata Party(BJP),CHANDRA PRAKASH JOSHI,888202,389877
341,Rajasthan,CHURU(3),Indian National Congress (INC),RAHUL KASWAN,728211,72737
342,Rajasthan,DAUSA (11),Indian National Congress (INC),MURARI LAL MEENA,646266,237340
343,Rajasthan,GANGANAGAR (1),Indian National Congress (INC),KULDEEP INDORA,726492,88153
344,Rajasthan,JAIPUR RURAL(6),Bharatiya Janata Party(BJP),RAO RAJENDRA SINGH,617877,1615
345,Rajasthan,JAIPUR(7),Bharatiya Janata Party(BJP),MANJU SHARMA,886850,331767
346,Rajasthan,JALORE (18),Bharatiya Janata Party(BJP),LUMBARAM,796783,201543
347,Rajasthan,JHALAWAR-BARAN(25),Bharatiya Janata Party(BJP),DUSHYANT SINGH,865376,370989
348,Rajasthan,JHUNJHUNU     (4),Indian National Congress (INC),BRIJENDRA SINGH OLA,553168,18235
349,Rajasthan,JODHPUR(16),Bharatiya Janata Party(BJP),GAJENDRA SINGH SHEKHAWAT,730056,115677
350,Rajasthan,KARAULI-DHOLPUR (10),Indian National Congress (INC),BHAJAN LAL JATAV,530011,98945
351,Rajasthan,KOTA(24),Bharatiya Janata Party(BJP),OM BIRLA,750496,41974
352,Rajasthan,NAGAUR(14),Rashtriya Loktantrik Party - RLTP,HANUMAN BENIWAL,596955,42225
353,Rajasthan,PALI(15),Bharatiya Janata Party(BJP),P. P. CHAUDHARY,757389,245351
354,Rajasthan,RAJSAMAND(22),Bharatiya Janata Party(BJP),MAHIMA KUMARI MEWAR,781203,392223
355,Rajasthan,SIKAR(5),Communist Party of India (Marxist) - CPI(M),AMRARAM,659300,72896
356,Rajasthan,TONK-SAWAI MADHOPUR (12),Indian National Congress (INC),HARISH CHANDRA MEENA,623763,64949
357,Rajasthan,UDAIPUR (19),Bharatiya Janata Party(BJP),MANNA LAL RAWAT,738286,261608
358,Sikkim,Sikkim(1),Sikkim Krantikari Morcha - SKM,INDRA HANG SUBBA,164396,80830
359,TamilNadu,ARAKKONAM(7),Dravida Munnetra Kazhagam,S JAGATHRATCHAKAN,563216,306559
360,TamilNadu,ARANI(12),Dravida Munnetra Kazhagam,THARANIVENTHAN M S,500099,208766
361,TamilNadu,CHENNAI CENTRAL(4),Dravida Munnetra Kazhagam,DAYANIDHI MARAN,413848,244689
362,TamilNadu,CHENNAI NORTH(2),Dravida Munnetra Kazhagam,DR.KALANIDHI VEERASWAMY,497333,339222
363,TamilNadu,CHENNAI SOUTH(3),Dravida Munnetra Kazhagam,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,516628,225945
364,TamilNadu,CHIDAMBARAM(27),Viduthalai Chiruthaigal Katchi -  VCK,THIRUMAAVALAVAN THOL,505084,103554
365,TamilNadu,COIMBATORE(20),Dravida Munnetra Kazhagam,GANAPATHY RAJKUMAR P,568200,118068
366,TamilNadu,CUDDALORE(26),Indian National Congress (INC),M.K. VISHNUPRASAD,455053,185896
367,TamilNadu,DHARMAPURI(10),Dravida Munnetra Kazhagam,MANI. A.,432667,21300
368,TamilNadu,DINDIGUL(22),Communist Party of India (Marxist) - CPI(M),SACHITHANANTHAM R,670149,443821
369,TamilNadu,ERODE(17),Dravida Munnetra Kazhagam,K E PRAKASH,562339,236566
370,TamilNadu,KALLAKURICHI(14),Dravida Munnetra Kazhagam,MALAIYARASAN D,561589,53784
371,TamilNadu,KANCHEEPURAM(6),Dravida Munnetra Kazhagam,SELVAM. G,586044,221473
372,TamilNadu,KANNIYAKUMARI(39),Indian National Congress (INC),VIJAYAKUMAR (Alias) VIJAY VASANTH,546248,179907
373,TamilNadu,KARUR(23),Indian National Congress (INC),JOTHIMANI. S,534906,166816
374,TamilNadu,KRISHNAGIRI(9),Indian National Congress (INC),GOPINATH K,492883,192486
375,TamilNadu,MADURAI(32),Communist Party of India (Marxist) - CPI(M),VENKATESAN S,430323,209409
376,TamilNadu,MAYILADUTHURAI(28),Indian National Congress (INC),SUDHA R,518459,271183
377,TamilNadu,NAGAPATTINAM(29),Communist Party of India - CPI,SELVARAJ V,465044,208957
378,TamilNadu,NAMAKKAL(16),Dravida Munnetra Kazhagam,MATHESWARAN V S,462036,29112
379,TamilNadu,NILGIRIS(19),Dravida Munnetra Kazhagam,RAJA A,473212,240585
380,TamilNadu,PERAMBALUR(25),Dravida Munnetra Kazhagam,ARUN NEHRU,603209,389107
381,TamilNadu,POLLACHI(21),Dravida Munnetra Kazhagam,ESWARASAMY K,533377,252042
382,TamilNadu,RAMANATHAPURAM(35),Indian Union Muslim League - IUML,NAVASKANI K,509664,166782
383,TamilNadu,SALEM(15),Dravida Munnetra Kazhagam,SELVAGANAPATHI T M,566085,70357
384,TamilNadu,SIVAGANGA(31),Indian National Congress (INC),KARTI P CHIDAMBARAM,427677,205664
385,TamilNadu,SRIPERUMBUDUR(5),Dravida Munnetra Kazhagam,T R BAALU,758611,487029
386,TamilNadu,TENKASI(37),Dravida Munnetra Kazhagam,DR RANI SRI KUMAR,425679,196199
387,TamilNadu,THANJAVUR(30),Dravida Munnetra Kazhagam,MURASOLI S,502245,319583
388,TamilNadu,THENI(33),Dravida Munnetra Kazhagam,THANGA TAMILSELVAN,571493,278825
389,TamilNadu,THOOTHUKKUDI(36),Dravida Munnetra Kazhagam,KANIMOZHI KARUNANIDHI,540729,392738
390,TamilNadu,TIRUCHIRAPPALLI(24),Marumalarchi Dravida Munnetra Kazhagam - MDMK,DURAI VAIKO,542213,313094
391,TamilNadu,TIRUNELVELI(38),Indian National Congress (INC),ROBERT BRUCE C,502296,165620
392,TamilNadu,TIRUPPUR(18),Communist Party of India - CPI,"SUBBARAYAN, K.",472739,125928
393,TamilNadu,TIRUVALLUR(1),Indian National Congress (INC),Sasikanth Senthil,796956,572155
394,TamilNadu,TIRUVANNAMALAI(11),Dravida Munnetra Kazhagam,"ANNADURAI, C.N.",547379,233931
395,TamilNadu,VELLORE(8),Dravida Munnetra Kazhagam,DM KATHIR ANAND,568692,215702
396,TamilNadu,VILUPPURAM(13),Viduthalai Chiruthaigal Katchi -  VCK,RAVIKUMAR. D,477033,70703
397,TamilNadu,VIRUDHUNAGAR(34),Indian National Congress (INC),MANICKAM TAGORE B,385256,4379
398,Telangana,Adilabad (1),Bharatiya Janata Party(BJP),GODAM NAGESH,568168,90652
399,Telangana,Bhongir (14),Indian National Congress (INC),CHAMALA KIRAN KUMAR REDDY,629143,222170
400,Telangana,Chevella(10),Bharatiya Janata Party(BJP),KONDA VISHWESHWAR REDDY,809882,172897
401,Telangana,Hyderabad(9),All India Majlis-E-Ittehadul Muslimeen - AIMIM,ASADUDDIN OWAISI,661981,338087
402,Telangana,Karimnagar (3),Bharatiya Janata Party(BJP),BANDI SANJAY KUMAR,585116,225209
403,Telangana,Khammam (17),Indian National Congress (INC),RAMASAHAYAM RAGHURAM REDDY,766929,467847
404,Telangana,Mahabubabad  (16),Indian National Congress (INC),BALRAM NAIK PORIKA,612774,349165
405,Telangana,Mahbubnagar(11),Bharatiya Janata Party(BJP),ARUNA. D. K,510747,4500
406,Telangana,Malkajgiri(7),Bharatiya Janata Party(BJP),EATALA RAJENDER,991042,391475
407,Telangana,Medak(6),Bharatiya Janata Party(BJP),MADHAVANENI RAGHUNANDAN RAO,471217,39139
408,Telangana,Nagarkurnool(12),Indian National Congress (INC),DR.MALLU RAVI,465072,94414
409,Telangana,Nalgonda(13),Indian National Congress (INC),KUNDURU RAGHUVEER,784337,559905
410,Telangana,Nizamabad(4),Bharatiya Janata Party(BJP),ARVIND DHARMAPURI,592318,109241
411,Telangana,Peddapalle (2),Indian National Congress (INC),VAMSI KRISHNA GADDAM,475587,131364
412,Telangana,Secunderabad(8),Bharatiya Janata Party(BJP),G. KISHAN REDDY,473012,49944
413,Telangana,Warangal(15),Indian National Congress (INC),KADIYAM KAVYA,581294,220339
414,Telangana,Zahirabad(5),Indian National Congress (INC),SURESH KUMAR SHETKAR,528418,46188
415,Tripura,Tripura East(2),Bharatiya Janata Party(BJP),KRITI DEVI DEBBARMAN,777447,486819
416,Tripura,Tripura West(1),Bharatiya Janata Party(BJP),BIPLAB KUMAR DEB,881341,611578
417,Uttar Pradesh,Agra(18),Bharatiya Janata Party(BJP),PROF S P SINGH BAGHEL,599397,271294
418,Uttar Pradesh,Akbarpur(44),Bharatiya Janata Party(BJP),DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345
419,Uttar Pradesh,Aligarh(15),Bharatiya Janata Party(BJP),SATISH KUMAR GAUTAM,501834,15647
420,Uttar Pradesh,Allahabad(52),Indian National Congress (INC),UJJWAL RAMAN SINGH,462145,58795
421,Uttar Pradesh,Ambedkar Nagar(55),Samajwadi Party,LALJI VERMA,544959,137247
422,Uttar Pradesh,Amethi(37),Indian National Congress (INC),KISHORI LAL,539228,167196
423,Uttar Pradesh,Amroha(9),Bharatiya Janata Party(BJP),KANWAR SINGH TANWAR,476506,28670
424,Uttar Pradesh,Aonla(24),Samajwadi Party,NEERAJ MAURYA,492515,15969
425,Uttar Pradesh,Azamgarh(69),Samajwadi Party,DHARMENDRA YADAV,508239,161035
426,Uttar Pradesh,Badaun(23),Samajwadi Party,ADITYA YADAV,501855,34991
427,Uttar Pradesh,Baghpat(11),Rashtriya Lok Dal,DR RAJKUMAR SANGWAN,488967,159459
428,Uttar Pradesh,Baharaich(56),Bharatiya Janata Party(BJP),ANAND KUMAR,518802,64227
429,Uttar Pradesh,Ballia(72),Samajwadi Party,SANATAN PANDEY,467068,43384
430,Uttar Pradesh,Banda(48),Samajwadi Party,KRISHNA DEVI SHIVSHANKER PATEL,406567,71210
431,Uttar Pradesh,Bansgaon(67),Bharatiya Janata Party(BJP),KAMLESH PASWAN,428693,3150
432,Uttar Pradesh,Barabanki(53),Indian National Congress (INC),TANUJ PUNIA,719927,215704
433,Uttar Pradesh,Bareilly(25),Bharatiya Janata Party(BJP),CHHATRA PAL SINGH GANGWAR,567127,34804
434,Uttar Pradesh,Basti(61),Samajwadi Party,RAM PRASAD CHAUDHARY,527005,100994
435,Uttar Pradesh,Bhadohi(78),Bharatiya Janata Party(BJP),DR. VINOD KUMAR BIND,459982,44072
436,Uttar Pradesh,Bijnor(4),Rashtriya Lok Dal,CHANDAN CHAUHAN,404493,37508
437,Uttar Pradesh,Bulandshahr(14),Bharatiya Janata Party(BJP),DR BHOLA SINGH,597310,275134
438,Uttar Pradesh,Chandauli(76),Samajwadi Party,BIRENDRA SINGH,474476,21565
439,Uttar Pradesh,Deoria(66),Bharatiya Janata Party(BJP),SHASHANK MANI,504541,34842
440,Uttar Pradesh,Dhaurahra(29),Samajwadi Party,ANAND BHADAURIYA,443743,4449
441,Uttar Pradesh,Domariyaganj(60),Bharatiya Janata Party(BJP),JAGDAMBIKA PAL,463303,42728
442,Uttar Pradesh,Etah(22),Samajwadi Party,DEVESH SHAKYA,475808,28052
443,Uttar Pradesh,Etawah(41),Samajwadi Party,JITENDRA KUMAR DOHARE,490747,58419
444,Uttar Pradesh,Faizabad(54),Samajwadi Party,AWADHESH PRASAD,554289,54567
445,Uttar Pradesh,Farrukhabad(40),Bharatiya Janata Party(BJP),MUKESH RAJPUT,487963,2678
446,Uttar Pradesh,Fatehpur Sikri(19),Bharatiya Janata Party(BJP),RAJKUMAR CHAHAR,445657,43405
447,Uttar Pradesh,Fatehpur(49),Samajwadi Party,NARESH CHANDRA UTTAM PATEL,500328,33199
448,Uttar Pradesh,Firozabad(20),Samajwadi Party,AKSHAYA YADAV,543037,89312
449,Uttar Pradesh,Gautam Buddha Nagar(13),Bharatiya Janata Party(BJP),DR. MAHESH SHARMA,857829,559472
450,Uttar Pradesh,Ghaziabad(12),Bharatiya Janata Party(BJP),ATUL GARG,854170,336965
451,Uttar Pradesh,Ghazipur(75),Samajwadi Party,AFZAL ANSARI,539912,124861
452,Uttar Pradesh,Ghosi(70),Samajwadi Party,RAJEEV RAI,503131,162943
453,Uttar Pradesh,Gorakhpur(64),Bharatiya Janata Party(BJP),RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834,103526
454,Uttar Pradesh,Hamirpur(47),Samajwadi Party,AJENDRA SINGH LODHI,490683,2629
455,Uttar Pradesh,Hardoi(31),Bharatiya Janata Party(BJP),JAI PRAKASH,486798,27856
456,Uttar Pradesh,Hathras(16),Bharatiya Janata Party(BJP),ANOOP PRADHAN BALMIKI,554746,247318
457,Uttar Pradesh,Jalaun(45),Samajwadi Party,NARAYAN DAS AHIRWAR,530180,53898
458,Uttar Pradesh,Jaunpur(73),Samajwadi Party,BABU SINGH KUSHWAHA,509130,99335
459,Uttar Pradesh,Jhansi(46),Bharatiya Janata Party(BJP),ANURAG SHARMA,690316,102614
460,Uttar Pradesh,Kairana(2),Samajwadi Party,IQRA CHOUDHARY,528013,69116
461,Uttar Pradesh,Kaiserganj(57),Bharatiya Janata Party(BJP),KARAN BHUSHAN SINGH,571263,148843
462,Uttar Pradesh,Kannauj(42),Samajwadi Party,AKHILESH YADAV,642292,170922
463,Uttar Pradesh,Kanpur(43),Bharatiya Janata Party(BJP),RAMESH AWASTHI,443055,20968
464,Uttar Pradesh,Kaushambi(50),Samajwadi Party,PUSHPENDRA SAROJ,509787,103944
465,Uttar Pradesh,Kheri(28),Samajwadi Party,UTKARSH VERMA 'MADHUR',557365,34329
466,Uttar Pradesh,Kushi Nagar(65),Bharatiya Janata Party(BJP),VIJAY KUMAR DUBAY,516345,81790
467,Uttar Pradesh,Lalganj(68),Samajwadi Party,DAROGA PRASAD SAROJ,439959,115023
468,Uttar Pradesh,Lucknow(35),Bharatiya Janata Party(BJP),RAJ NATH SINGH,612709,135159
469,Uttar Pradesh,Machhlishahr(74),Samajwadi Party,PRIYA SAROJ,451292,35850
470,Uttar Pradesh,Maharajganj(63),Bharatiya Janata Party(BJP),PANKAJ CHAUDHARY,591310,35451
471,Uttar Pradesh,Mainpuri(21),Samajwadi Party,DIMPLE YADAV,598526,221639
472,Uttar Pradesh,Mathura(17),Bharatiya Janata Party(BJP),HEMAMALINI DHARMENDRA DEOL,510064,293407
473,Uttar Pradesh,Meerut(10),Bharatiya Janata Party(BJP),ARUN GOVIL,546469,10585
474,Uttar Pradesh,Mirzapur(79),Apna Dal (Soneylal) - ADAL,ANUPRIYA PATEL,471631,37810
475,Uttar Pradesh,Misrikh(32),Bharatiya Janata Party(BJP),ASHOK KUMAR RAWAT,475016,33406
476,Uttar Pradesh,Mohanlalganj(34),Samajwadi Party,R.K. CHAUDHARY,667869,70292
477,Uttar Pradesh,Moradabad(6),Samajwadi Party,RUCHI VIRA,637363,105762
478,Uttar Pradesh,Muzaffarnagar(3),Samajwadi Party,HARENDRA SINGH MALIK,470721,24672
479,Uttar Pradesh,Muzaffarpur(15),Bharatiya Janata Party(BJP),RAJ BHUSHAN CHOUDHARY,619749,234927
480,Uttar Pradesh,Nagina(5),Aazad Samaj Party (Kanshi Ram) - ASPKR,CHANDRASHEKHAR,512552,151473
481,Uttar Pradesh,Phulpur(51),Bharatiya Janata Party(BJP),PRAVEEN PATEL,452600,4332
482,Uttar Pradesh,Pilibhit(26),Bharatiya Janata Party(BJP),JITIN PRASADA,607158,164935
483,Uttar Pradesh,Pratapgarh(39),Samajwadi Party,SHIV PAL SINGH PATEL (DR. S P SINGH),441932,66206
484,Uttar Pradesh,Rae Bareli(36),Indian National Congress (INC),RAHUL GANDHI,687649,390030
485,Uttar Pradesh,Rampur(7),Samajwadi Party,MOHIBBULLAH,481503,87434
486,Uttar Pradesh,Robertsganj(80),Samajwadi Party,CHHOTELAL,465848,129234
487,Uttar Pradesh,Saharanpur(1),Indian National Congress (INC),IMRAN MASOOD,547967,64542
488,Uttar Pradesh,Salempur(71),Samajwadi Party,RAMASHANKAR RAJBHAR,405472,3573
489,Uttar Pradesh,Sambhal(8),Samajwadi Party,ZIA UR REHMAN,571161,121494
490,Uttar Pradesh,Sant Kabir Nagar(62),Samajwadi Party,LAXMIKANT PAPPU NISHAD,498695,92170
491,Uttar Pradesh,Shahjahanpur(27),Bharatiya Janata Party(BJP),ARUN KUMAR SAGAR,592718,55379
492,Uttar Pradesh,Shrawasti(58),Samajwadi Party,RAM SHIROMANI VERMA,511055,76673
493,Uttar Pradesh,Sitapur(30),Indian National Congress (INC),RAKESH RATHOR,531138,89641
494,Uttar Pradesh,Sultanpur(38),Samajwadi Party,RAMBHUAL NISHAD,444330,43174
495,Uttar Pradesh,Unnao(33),Bharatiya Janata Party(BJP),SWAMI SACHCHIDANAND HARI SAKSHI,616133,35818
496,Uttar Pradesh,Varanasi(77),Bharatiya Janata Party(BJP),NARENDRA MODI,612970,152513
497,Uttrakhand,Almora(3),Bharatiya Janata Party(BJP),AJAY TAMTA,429167,234097
498,Uttrakhand,Garhwal(2),Bharatiya Janata Party(BJP),ANIL BALUNI,432159,163503
499,Uttrakhand,Haridwar(5),Bharatiya Janata Party(BJP),TRIVENDRA SINGH RAWAT,653808,164056
500,Uttrakhand,Nainital-Udhamsingh Nagar(4),Bharatiya Janata Party(BJP),AJAY BHATT,772671,334548
501,Uttrakhand,Tehri Garhwal(1),Bharatiya Janata Party(BJP),MALA RAJYA LAKSHMI SHAH,462603,272493
502,West Bengal,Alipurduars(2),Bharatiya Janata Party(BJP),MANOJ TIGGA,695314,75447
503,West Bengal,Arambagh(29),All India Trinamool Congress,BAG MITALI,712587,6399
504,West Bengal,Asansol(40),All India Trinamool Congress,SHATRUGHAN PRASAD SINHA,605645,59564
505,West Bengal,Baharampur(10),All India Trinamool Congress,PATHAN YUSUF,524516,85022
506,West Bengal,Balurghat(6),Bharatiya Janata Party(BJP),SUKANTA MAJUMDAR,574996,10386
507,West Bengal,Bangaon(14),Bharatiya Janata Party(BJP),SHANTANU THAKUR,719505,73693
508,West Bengal,Bankura(36),All India Trinamool Congress,ARUP CHAKRABORTY,641813,32778
509,West Bengal,Barasat(17),All India Trinamool Congress,KAKOLI GHOSH DASTIDAR,692010,114189
510,West Bengal,Bardhaman Purba(38),All India Trinamool Congress,DR. SHARMILA SARKAR,720302,160572
511,West Bengal,Bardhaman-Durgapur(39),All India Trinamool Congress,AZAD KIRTI JHA,720667,137981
